date,R_H,Precipitation,Eto,HK4004U,HK4256U,Infiltration(l/min)
5/21/2020,81,0,4.28,19.37,22.32,0
5/22/2020,68,3.8,4.35,19.36,22.32,0
5/23/2020,93,9.8,2.35,19.37,22.32,0
5/24/2020,81,2.2,1.51,19.39,22.4,0
5/25/2020,92,0,3.29,19.46,22.4,0
5/26/2020,95,0,4.05,19.44,22.36,0
5/27/2020,85,0,3.4,19.44,22.38,0
5/28/2020,73,0,4.36,19.41,22.38,0
5/29/2020,83,0,4.6,19.39,22.38,0
5/30/2020,68,0,5.4,19.38,22.4,0
5/31/2020,65,0,5.77,19.36,22.31,0
6/1/2020,64,0,5.82,19.35,22.35,0
6/2/2020,89,0,5.77,19.355,22.43,0
6/3/2020,72,0.5,4.03,19.35,22.59,0
6/4/2020,71,2.9,5.14,19.34,22.61,0
6/5/2020,57,7.2,2.98,19.33,22.6,0
6/6/2020,82,8.3,3.1,19.42,22.58,0
6/7/2020,71,0,4.07,19.44,22.53,0
6/8/2020,75,0,4.07,19.42,22.33,0
6/9/2020,76,0,3.99,19.39,22.32,0
6/10/2020,77,0,4.44,19.37,22.31,0
6/11/2020,65,0,6.69,18.93,22.31,0
6/12/2020,46,0,6.66,19.33,22.33,0
6/13/2020,49,0,6.22,19.32,22.3,0
6/14/2020,57,0,6.5,19.29833333,22.30388889,0
6/15/2020,56,0,6.62,19.28541667,22.3,1.25
6/16/2020,65,0.5,5.51,19.27458333,22.305,1.733333333
6/17/2020,70,0,3.25,19.25791667,22.30833333,14.05
6/18/2020,80,0,4.49,19.24291667,22.31041667,13.03333333
6/19/2020,80,4.9,4.55,19.23541667,22.29166667,12.68333333
6/20/2020,90,17.9,2.86,19.28791667,22.28041667,12.5
6/21/2020,94,0.5,1.97,19.44,22.26875,12.31666667
6/22/2020,69,1.7,2.37,19.482,22.26083333,12.18333333
6/23/2020,79,0,4.58,19.46478261,22.26,12.08333333
6/24/2020,84,0,5.21,19.42208333,22.25166667,12.03333333
6/25/2020,79,0,5.72,19.3925,22.27791667,11.96666667
6/26/2020,72,1,5.48,19.3744,22.29416667,11.86666667
6/27/2020,73,6.5,5.6,19.36208333,22.32875,11.8
6/28/2020,82,2.5,2.57,19.59666667,22.32958333,11.71666667
6/29/2020,70,5.5,3.89,19.61541667,22.32958333,11.68333333
6/30/2020,84,3.3,2.25,19.66333333,22.32958333,11.51666667
7/1/2020,84,0.8,3.51,19.7,22.33,11.5
7/2/2020,94,0,4.3,19.65,22.33,11.48333333
7/3/2020,75,15.2,2.83,19.61,22.33,12.1
7/4/2020,95,7.7,1.92,19.58,22.33,11.88333333
7/5/2020,95,16.5,2.39,19.71,22.32,11.7
7/6/2020,78,8,2.38,19.78,22.37,11.6
7/7/2020,75,1.3,3.13,19.75,22.39,11.58333333
7/8/2020,78,0,4.15,19.72,22.44,11.55
7/9/2020,93,0,3.96,19.69,22.52,11.51666667
7/10/2020,91,0,3.12,19.68,22.55,11.51666667
7/11/2020,93,0,3.6,19.65,22.58,11.53333333
7/12/2020,83,0,3.59,19.62,22.56,11.5
7/13/2020,88,6.1,3.07,19.6,22.57,11.48333333
7/14/2020,92,12.5,1.7,19.6,22.61,11.41666667
7/15/2020,92,0,2.72,19.71,22.66,11.41666667
7/16/2020,93,0,3.38,19.73,22.73,11.41666667
7/17/2020,95,0,4.28,19.7,22.8,11.41666667
7/18/2020,92,0.7,4.06,19.68,22.86,11.41666667
7/19/2020,76,3.1,2.59,19.67,22.91,11.4
7/20/2020,95,0,3.65,19.65,22.96,11.41666667
7/21/2020,90,0,3.9,19.64,22.94,11.43333333
7/22/2020,95,0,4.12,19.62,22.92,11.43333333
7/23/2020,93,7,4.2,19.61,22.89,11.43333333
7/24/2020,87,12.9,2.3,19.6,22.91,11.38333333
7/25/2020,96,0.2,3.78,19.78,22.96,11.35
7/26/2020,89,1.5,2.1,19.74,23.02,11.36666667
7/27/2020,94,6.9,4.02,19.72,23.04,11.36666667
7/28/2020,89,10,2.4,19.71,23.03,11.3
7/29/2020,87,1.7,1.9,19.81,23.29,11.28333333
7/30/2020,90,0,2.14,19.78,23.35,11.28333333
7/31/2020,92,0,4.52,19.75,23.37,11.33333333
8/1/2020,70,0,4.41,19.73,23.39,11.35
8/2/2020,76,0.7,2.38,19.72,23.45,11.36666667
8/3/2020,87,0,3.74,19.71,23.47,11.4
8/4/2020,93,1.1,4.12,19.69,23.47,11.41666667
8/5/2020,88,9.4,1.58,19.66,23.44,11.38333333
8/6/2020,96,0.3,3.81,19.7,23.43,11.4
8/7/2020,61,0,5.48,19.74,23.36,11.41666667
8/8/2020,68,0,4.68,19.71,23.36,11.43333333
8/9/2020,59,0,4.75,19.69,23.35,11.46666667
8/10/2020,57,0,4.48,19.67,23.34,11.48333333
8/11/2020,87,0,3.24,19.64,23.32,11.46666667
8/12/2020,75,0,4.34,19.62,23.29,11.48333333
8/13/2020,74,0,4.04,19.61,23.3,11.51666667
8/14/2020,72,0,4.41,19.61,23.28,11.5
8/15/2020,77,0,4.19,19.59,23.26,11.5
8/16/2020,78,0,4.47,19.58,23.23,11.51666667
8/17/2020,65,0,4.38,19.57,23.2,11.53333333
8/18/2020,70,0,3.71,19.56,23.18,11.51666667
8/19/2020,94,2.6,2.27,19.55,23.12,11.5
8/20/2020,96,1.2,2.56,19.53,23.12,11.48333333
8/21/2020,95,4,1.96,19.53,23.1,11.43333333
8/22/2020,91,3.4,3.29,19.55,23.07,11.45
8/23/2020,87,0,2.86,19.55,23.07,11.45
8/24/2020,83,0.2,3.6,19.55,23.05,11.48333333
8/25/2020,82,4,3.18,19.5,22.95,11.48333333
8/26/2020,77,0.4,1.61,19.46,22.8,11.45
8/27/2020,85,0,2.53,19.47,22.69,11.5
8/28/2020,95,0.6,2.06,19.44,22.62,11.46666667
8/29/2020,85,0.1,1.39,19.44,22.6,11.46666667
8/30/2020,95,0,2.46,19.43,22.55,11.53333333
8/31/2020,95,0,2.95,19.4,22.41,11.58333333
9/1/2020,82,0,2.72,19.38,22.38,11.6
9/2/2020,83,0,2.66,19.37,22.37,11.63333333
9/3/2020,93,3.1,2.29,19.37,22.36,11.6
9/4/2020,95,0.8,2.37,19.37,22.36,11.6
9/5/2020,81,7.5,2.4,19.37,22.34,11.6
9/6/2020,90,0.3,2.46,19.36,22.33,11.61666667
9/7/2020,89,4,2.43,19.42,22.32,11.58333333
9/8/2020,93,3.8,2.37,19.43,22.34,11.58333333
9/9/2020,86,1.2,2,19.48,22.37,15.86666667
9/10/2020,74,0,2.85,19.54,22.41,15.78333333
9/11/2020,83,6.8,1.83,19.52,22.38,15.71666667
9/12/2020,85,9.2,1.55,19.51,22.37,15.68333333
9/13/2020,72,11,1.46,19.62,22.36,15.65
9/14/2020,95,0,1.17,19.69,22.38,15.66666667
9/15/2020,97,0,1.5,19.69,22.6,15.66666667
9/16/2020,95,0,2.21,19.66,22.66,15.73333333
9/17/2020,69,0,1.96,19.62,22.61,15.75
9/18/2020,92,0,1.46,19.6,22.55,15.71666667
9/19/2020,97,0,1.49,19.58,22.48,15.71666667
9/20/2020,97,0,0.96,19.56,22.4,15.71666667
9/21/2020,95,0,0.94,19.55,22.37,15.71666667
9/22/2020,90,0,1.25,19.53,22.37,15.73333333
9/23/2020,91,0.9,2.01,19.56,22.36,15.71666667
9/24/2020,89,2.4,2.1,19.59,22.37,15.75
9/25/2020,86,24.4,1.39,19.6,22.44,15.71666667
9/26/2020,94,0.1,1.17,19.68,22.51,15.71666667
9/27/2020,95,0,1.57,19.78,22.6,15.73333333
9/28/2020,88,0.2,1.57,19.74,22.67,15.75
9/29/2020,93,0,1.27,19.73,22.74,15.75
9/30/2020,93,0,1.11,19.72,22.8,15.78333333
10/1/2020,91,0,1.14,19.71,22.85,15.75
10/2/2020,80,0,1.72,19.71,22.89,15.78333333
10/3/2020,85,0,1.47,19.68,22.88,15.75
10/4/2020,81,17.5,0.99,19.68,22.88,15.76666667
10/5/2020,93,0.8,1.11,19.76,22.92,15.76666667
10/6/2020,93,2.3,0.9,19.78,23,15.76666667
10/7/2020,95,2,0.73,19.77,23.08,15.76666667
10/8/2020,95,13.6,0.8,19.78,23.04,12.91666667
10/9/2020,95,9.2,1.2,19.78,23.08,13.01666667
10/10/2020,95,8.2,0.79,19.84,23.14,13.01666667
10/11/2020,96,3.8,0.51,19.88,23.24,13.03333333
10/12/2020,97,0.2,0.66,19.88,23.31,13.06666667
10/13/2020,96,0,0.74,19.85,23.36,13.08333333
10/14/2020,88,0,1.12,19.8,23.33,13.11666667
10/15/2020,71,0,0.75,19.78,23.37,13.13333333
10/16/2020,94,0.2,0.57,19.76,23.39,13.33333333
10/17/2020,96,0.2,0.6,19.74,23.4,13.18333333
10/18/2020,96,0,0.73,19.76,23.47,13.1
10/19/2020,80,0,0.39,19.73,23.42,13.11666667
10/20/2020,85,13.4,0.67,19.71,23.39,13.11666667
10/21/2020,96,30.7,0.37,19.72,23.42,0
10/22/2020,95,6,0.54,19.84,23.46,0
10/23/2020,91,5.4,0.91,19.93,23.87,0
10/24/2020,95,0.5,0.53,19.87,23.84,0
10/25/2020,95,7,0.56,19.87,23.82,0
10/26/2020,95,0.4,0.47,19.88,23.82,0
10/27/2020,95,8.6,0.63,19.86,23.84,0
10/28/2020,91,8,0.65,19.84,23.79,0
10/29/2020,91,1.3,0.27,19.87,23.93,0
10/30/2020,96,1.6,0.24,19.87,23.94,0
10/31/2020,96,3.2,0.23,19.83,23.93,0
11/1/2020,95,13.6,0.52,19.83,23.91,0
11/2/2020,95,11,0.64,19.88,24.06,0
11/3/2020,88,5.6,0.58,19.93,24.43,0
11/4/2020,93,0,0.61,19.87,24.46,0
11/5/2020,76,0.2,1.24,19.84,24.33,0
11/6/2020,91,0,0.26,19.82,24.27,0
11/7/2020,93,0,0.4,19.79,24.17,0
11/8/2020,91,0,0.27,19.78,24.14,0
11/9/2020,91,0.2,0.37,19.76,24.06,0
11/10/2020,94,0,0.27,19.75,24,0
11/11/2020,85,0.9,0.33,19.74,23.98,0
11/12/2020,94,0.6,0.26,19.74,23.96,0
11/13/2020,94,3.5,0.24,19.74,23.92,0
11/14/2020,93,0.2,0.02,19.74,23.9,0
11/15/2020,93,3.5,0.42,19.77,23.87,0
11/16/2020,88,3.1,0.52,19.77,23.88,0
11/17/2020,93,12.4,0.37,19.81,23.87,0
11/18/2020,97,7,0.42,19.88,24.3,0
11/19/2020,93,1.5,1.04,19.91,24.47,0
11/20/2020,61,5.4,0.76,19.87,24.52,0
11/21/2020,78,13.5,0.62,19.83,24.44,0
11/22/2020,83,2,0.73,19.93,24.84,0
11/23/2020,77,5.9,0.46,19.88,24.83,0
11/24/2020,88,4,0.36,19.84,24.68,0
11/25/2020,93,2.8,0.29,19.9,24.79,0
11/26/2020,96,0,0.04,19.86,24.76,0
11/27/2020,96,0,,19.84,24.67,0
11/28/2020,96,0,,19.82,24.59,0
11/29/2020,92,0,0.16,19.79,24.48,0
11/30/2020,94,6.6,0.21,19.78,24.43,0
12/1/2020,96,0,,19.8,24.39,0
12/2/2020,94,0,0.16,19.82,24.37,0
12/3/2020,92,0,0.49,19.82,24.43,0
12/4/2020,92,0.7,0.22,19.8,24.43,0
12/5/2020,94,0,0.22,19.78,24.34,0
12/6/2020,87,0,0.18,19.75,24.26,0
12/7/2020,89,0.2,0.4,19.75,24.21,0
12/8/2020,94,2.6,0.13,19.73,24.15,0
12/9/2020,96,2.5,0.15,19.75,24.1,0
12/10/2020,94,0.2,0.21,19.76,24.09,0
12/11/2020,92,0,0.2,19.75,24.04,0
12/12/2020,88,1.6,0.15,19.73,23.92,0
12/13/2020,96,0.2,0.05,19.7,23.8,0
12/14/2020,94,4.5,0.25,19.7,23.88,0
12/15/2020,97,4.8,0.11,19.73,23.83,0
12/16/2020,98,0,0.1,19.77,23.86,0
12/17/2020,94,15.2,0.16,19.75,23.86,0
12/18/2020,95,11.6,0.16,19.85,24.2,0
12/19/2020,96,1.6,0.2,19.9,24.5,0
12/20/2020,94,0,0.15,19.83,24.54,0
12/21/2020,97,2.6,0.23,19.8,24.36,0
12/22/2020,91,5.2,0.24,19.79,24.29,0
12/23/2020,89,0.2,0.1,19.81,24.29,0
12/24/2020,96,0.2,,19.78,24.28,0
12/25/2020,82,0,,19.74,24.18,0
12/26/2020,91,26,0.31,19.73,24.12,0
12/27/2020,92,24.6,0.24,19.8,24.14,0
12/28/2020,97,1.9,0.18,19.94,24.95,0
12/29/2020,94,3,0.14,19.87,24.76,0
12/30/2020,94,1.9,0.13,19.83,24.6,0
12/31/2020,96,4,0.11,19.82,24.49,0
1/1/2021,95,0,0.07,19.82,24.43,0
1/2/2021,96,0,0.08,19.81,24.46,0
1/3/2021,94,0.3,0.29,19.76,24.39,0
1/4/2021,86,0,0.41,19.74,24.33,0
1/5/2021,86,0,0.34,19.72,24.23,0
1/6/2021,85,5,0.31,19.71,24.19,0
1/7/2021,92,0.2,0.24,19.7,24.16,0
1/8/2021,92,0.6,0.15,19.68,24.08,0
1/9/2021,92,2.8,0.09,19.66,23.98,0
1/10/2021,96,7.4,0.26,19.67,23.95,0
1/11/2021,96,16,0.18,19.7,23.94,0
1/12/2021,95,0,,19.9,24.48,0
1/13/2021,93,0.1,0.24,19.82,24.54,0
1/14/2021,85,0,0.39,19.75,24.41,0
1/15/2021,88,0,,19.73,24.28,0
1/16/2021,89,0,,19.7,24.19,0
1/17/2021,90,0.2,0.11,19.69,24.12,0
1/18/2021,88,1.2,0.19,19.67,24.01,0
1/19/2021,96,5,0.11,19.66,23.93,0
1/20/2021,97,22.7,0.16,19.71,23.85,0
1/21/2021,94,5.1,0.68,19.84,24.19,0
1/22/2021,78,11.2,0.57,19.84,24.52,0
1/23/2021,87,0,0.21,19.85,24.62,0
1/24/2021,92,0.4,0.17,19.8,24.55,0
1/25/2021,95,0,0.18,19.78,24.44,0
1/26/2021,93,0,,19.75,24.31,0
1/27/2021,91,0,0.14,19.74,24.19,0
1/28/2021,96,0.2,0.11,19.71,24.09,0
1/29/2021,85,0,0.19,19.72,23.99,0
1/30/2021,92,0,,19.68,23.88,0
1/31/2021,78,3,,19.67,23.78,0
2/1/2021,91,2.4,0.17,19.67,23.66,0
2/2/2021,94,0,0.05,19.63,23.54,0
2/3/2021,94,0,0.29,19.62,23.61,0
2/4/2021,87,0.1,0.15,19.6,23.51,0
2/5/2021,86,0,0.15,19.58,23.39,0
2/6/2021,87,0,0.17,19.58,23.29,0
2/7/2021,87,0,0.31,19.55,23.18,0
2/8/2021,86,0,0.41,19.53,22.99,0
2/9/2021,82,0,0.39,19.53,22.82,0
2/10/2021,79,0,0.41,19.51,22.72,0
2/11/2021,79,0,0.23,19.49,22.64,0
2/12/2021,78,0,0.24,19.48,22.55,0
2/13/2021,70,0,0.11,19.44,22.51,0
2/14/2021,91,0,,19.45,22.47,0
2/15/2021,91,0,0.77,19.44,22.43,0
2/16/2021,76,5.8,0.41,19.39,22.39,0
2/17/2021,90,5.3,0.38,19.4,22.38,0
2/18/2021,86,2.4,0.37,19.51,22.34,0
2/19/2021,95,0.4,0.29,19.58,22.34,0
2/20/2021,96,0.1,0.43,19.6,22.34,0
2/21/2021,92,0,0.46,19.57,22.33,0
2/22/2021,94,0.1,0.55,19.58,22.34,0
2/23/2021,85,0.1,0.5,19.59,22.33,0
2/24/2021,98,0.1,0.64,19.59,22.33,0
2/25/2021,85,0,0.81,19.59,22.33,0
2/26/2021,90,0,1.03,19.59,22.34,0
2/27/2021,63,0,0.7,19.59,22.37,0
2/28/2021,96,0,0.56,19.58,22.4,0
3/1/2021,96,0,0.55,19.56,22.45,0
3/2/2021,94,0,0.41,19.55,22.5,0
3/3/2021,97,0,0.36,19.55,22.54,0
3/4/2021,97,0,1.07,19.53,22.58,0
3/5/2021,76,0,0.76,19.52,22.58,0
3/6/2021,93,0,1.13,19.51,22.57,0
3/7/2021,84,0,1.71,19.49,22.58,0
3/8/2021,49,0,0.66,19.48,22.57,0.215278
3/9/2021,81,0,0.7,19.46,22.54,0
3/10/2021,84,6.3,1.12,19.65,22.53,0
